NAME,total_units,sfr_detached,sfr_attached,two_unit,small_multifamily,mf_5_9,mf_10_19,mf_20_49,mf_50plus,state,county,tract,owner_occupied,renter_occupied,owner_share,total_households,income_under_10k,income_30_35k,income_40_45k,income_75_100k,income_100_125k,income_200k_plus,total_vacant,vacant_for_rent,vacant_for_sale,GEOID
"Census Tract 68.01, Fulton County, Georgia",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,121,6801,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6935
"Census Tract 88, Fulton County, Georgia",2483.0,1903.0,143.0,47.0,18.0,172.0,124.0,0.0,76.0,13,121,8800,1280.0,681.0,0.6527281998980112,1961.0,61.0,0.0,51.0,211.0,209.0,386.0,522.0,26.0,64.0,8934
"Census Tract 105.12, Fulton County, Georgia",2973.0,932.0,291.0,17.0,209.0,817.0,617.0,0.0,55.0,13,121,10512,513.0,1843.0,0.2177419354838709,2356.0,192.0,119.0,225.0,299.0,139.0,0.0,617.0,308.0,68.0,10646
"Census Tract 105.13, Fulton County, Georgia",5445.0,3805.0,456.0,61.0,280.0,628.0,116.0,0.0,0.0,13,121,10513,2215.0,2631.0,0.457078002476269,4846.0,249.0,187.0,276.0,487.0,719.0,28.0,599.0,0.0,60.0,10647
"Census Tract 106.01, Fulton County, Georgia",1823.0,898.0,35.0,195.0,357.0,155.0,132.0,40.0,11.0,13,121,10601,610.0,971.0,0.3858317520556609,1581.0,291.0,93.0,46.0,112.0,108.0,21.0,242.0,91.0,23.0,10735
"Census Tract 106.04, Fulton County, Georgia",1952.0,557.0,9.0,0.0,69.0,275.0,559.0,369.0,105.0,13,121,10604,440.0,861.0,0.3382013835511145,1301.0,85.0,119.0,99.0,97.0,48.0,10.0,651.0,223.0,0.0,10738
"Census Tract 112.02, Fulton County, Georgia",2328.0,1592.0,0.0,194.0,58.0,248.0,100.0,69.0,31.0,13,121,11202,584.0,999.0,0.3689197725837018,1583.0,120.0,101.0,131.0,139.0,139.0,11.0,745.0,209.0,33.0,11336
"Census Tract 7, Fulton County, Georgia",417.0,366.0,21.0,8.0,4.0,13.0,5.0,0.0,0.0,13,121,700,243.0,104.0,0.7002881844380403,347.0,12.0,4.0,0.0,22.0,64.0,55.0,70.0,0.0,16.0,834
"Census Tract 13, Fulton County, Georgia",2487.0,471.0,205.0,82.0,520.0,430.0,318.0,187.0,258.0,13,121,1300,835.0,1364.0,0.3797180536607549,2199.0,163.0,108.0,82.0,281.0,305.0,250.0,288.0,102.0,0.0,1434
"Census Tract 38, Fulton County, Georgia",371.0,105.0,22.0,40.0,21.0,58.0,109.0,8.0,8.0,13,121,3800,12.0,218.0,0.0521739130434782,230.0,43.0,12.0,10.0,16.0,1.0,0.0,141.0,15.0,0.0,3934
"Census Tract 40, Fulton County, Georgia",1333.0,1047.0,20.0,116.0,46.0,18.0,42.0,11.0,25.0,13,121,4000,405.0,605.0,0.400990099009901,1010.0,182.0,101.0,66.0,47.0,67.0,6.0,323.0,24.0,12.0,4134
"Census Tract 42, Fulton County, Georgia",1643.0,212.0,44.0,160.0,102.0,55.0,214.0,179.0,677.0,13,121,4200,332.0,1124.0,0.228021978021978,1456.0,434.0,77.0,50.0,73.0,80.0,9.0,187.0,62.0,70.0,4334
"Census Tract 49, Fulton County, Georgia",1347.0,802.0,179.0,30.0,23.0,110.0,29.0,19.0,155.0,13,121,4900,730.0,378.0,0.6588447653429603,1108.0,73.0,10.0,46.0,170.0,111.0,144.0,239.0,77.0,0.0,5034
"Census Tract 28, Fulton County, Georgia",1767.0,60.0,36.0,0.0,51.0,29.0,58.0,39.0,1494.0,13,121,2800,160.0,1293.0,0.1101169993117687,1453.0,316.0,59.0,54.0,84.0,159.0,29.0,314.0,108.0,14.0,2934
"Census Tract 48, Fulton County, Georgia",619.0,17.0,22.0,0.0,5.0,8.0,108.0,107.0,352.0,13,121,4800,5.0,558.0,0.0088809946714031,563.0,146.0,0.0,69.0,11.0,0.0,0.0,56.0,35.0,0.0,4934
"Census Tract 53, Fulton County, Georgia",1843.0,1220.0,177.0,111.0,72.0,111.0,40.0,23.0,78.0,13,121,5300,1198.0,477.0,0.7152238805970149,1675.0,57.0,45.0,10.0,250.0,194.0,325.0,168.0,0.0,25.0,5434
"Census Tract 81.01, Fulton County, Georgia",515.0,492.0,4.0,0.0,0.0,19.0,0.0,0.0,0.0,13,121,8101,330.0,172.0,0.6573705179282868,502.0,35.0,33.0,41.0,24.0,43.0,5.0,13.0,0.0,0.0,8235
"Census Tract 105.10, Fulton County, Georgia",6913.0,4400.0,445.0,0.0,321.0,616.0,629.0,342.0,160.0,13,121,10510,3168.0,3252.0,0.4934579439252336,6420.0,532.0,156.0,382.0,816.0,411.0,29.0,493.0,0.0,66.0,10644
"Census Tract 5, Fulton County, Georgia",3597.0,877.0,170.0,94.0,49.0,130.0,155.0,434.0,1688.0,13,121,500,1491.0,1352.0,0.5244460077383046,2843.0,151.0,99.0,118.0,348.0,426.0,447.0,754.0,61.0,43.0,634
"Census Tract 16, Fulton County, Georgia",1550.0,232.0,18.0,56.0,123.0,106.0,137.0,208.0,670.0,13,121,1600,412.0,882.0,0.3183925811437403,1294.0,40.0,89.0,64.0,201.0,120.0,195.0,256.0,0.0,0.0,1734
"Census Tract 31, Fulton County, Georgia",1057.0,512.0,107.0,59.0,46.0,0.0,200.0,26.0,95.0,13,121,3100,381.0,550.0,0.4092373791621912,931.0,17.0,95.0,20.0,74.0,79.0,111.0,126.0,34.0,18.0,3234
