NAME,total_vacant,vacant_for_rent,vacant_for_sale,state,county,tract
"Census Tract 222.04, DeKalb County, Georgia",346.0,47.0,11.0,13,089,022204
"Census Tract 231.11, DeKalb County, Georgia",77.0,11.0,21.0,13,089,023111
"Census Tract 231.12, DeKalb County, Georgia",366.0,216.0,16.0,13,089,023112
"Census Tract 231.13, DeKalb County, Georgia",176.0,53.0,0.0,13,089,023113
"Census Tract 231.14, DeKalb County, Georgia",111.0,28.0,35.0,13,089,023114
"Census Tract 216.02, DeKalb County, Georgia",175.0,53.0,0.0,13,089,021602
"Census Tract 217.04, DeKalb County, Georgia",176.0,0.0,57.0,13,089,021704
"Census Tract 217.05, DeKalb County, Georgia",505.0,302.0,0.0,13,089,021705
"Census Tract 220.01, DeKalb County, Georgia",174.0,50.0,31.0,13,089,022001
"Census Tract 220.07, DeKalb County, Georgia",22.0,0.0,0.0,13,089,022007
"Census Tract 224.01, DeKalb County, Georgia",180.0,19.0,0.0,13,089,022401
"Census Tract 221, DeKalb County, Georgia",98.0,43.0,0.0,13,089,022100
"Census Tract 227, DeKalb County, Georgia",101.0,49.0,29.0,13,089,022700
"Census Tract 232.04, DeKalb County, Georgia",328.0,46.0,0.0,13,089,023204
"Census Tract 235.06, DeKalb County, Georgia",456.0,118.0,0.0,13,089,023506
"Census Tract 234.12, DeKalb County, Georgia",536.0,0.0,0.0,13,089,023412
"Census Tract 234.16, DeKalb County, Georgia",171.0,82.0,0.0,13,089,023416
"Census Tract 205, DeKalb County, Georgia",325.0,29.0,28.0,13,089,020500
"Census Tract 209, DeKalb County, Georgia",227.0,0.0,16.0,13,089,020900
"Census Tract 207, DeKalb County, Georgia",173.0,44.0,15.0,13,089,020700
"Census Tract 212.04, DeKalb County, Georgia",77.0,77.0,0.0,13,089,021204
"Census Tract 212.13, DeKalb County, Georgia",34.0,0.0,0.0,13,089,021213
"Census Tract 218.05, DeKalb County, Georgia",150.0,0.0,0.0,13,089,021805
"Census Tract 220.04, DeKalb County, Georgia",198.0,0.0,0.0,13,089,022004
"Census Tract 232.08, DeKalb County, Georgia",120.0,0.0,50.0,13,089,023208
"Census Tract 232.12, DeKalb County, Georgia",100.0,51.0,0.0,13,089,023212
"Census Tract 235.04, DeKalb County, Georgia",283.0,41.0,0.0,13,089,023504
"Census Tract 236.02, DeKalb County, Georgia",261.0,17.0,42.0,13,089,023602
"Census Tract 201, DeKalb County, Georgia",66.0,20.0,7.0,13,089,020100
"Census Tract 213.01, DeKalb County, Georgia",137.0,51.0,17.0,13,089,021301
"Census Tract 233.06, DeKalb County, Georgia",82.0,0.0,0.0,13,089,023306
"Census Tract 232.06, DeKalb County, Georgia",294.0,0.0,122.0,13,089,023206
"Census Tract 234.11, DeKalb County, Georgia",96.0,21.0,0.0,13,089,023411
"Census Tract 234.13, DeKalb County, Georgia",116.0,0.0,25.0,13,089,023413
"Census Tract 238.02, DeKalb County, Georgia",213.0,48.0,0.0,13,089,023802
"Census Tract 212.08, DeKalb County, Georgia",138.0,79.0,0.0,13,089,021208
"Census Tract 101.22, Fulton County, Georgia",392.0,241.0,112.0,13,121,010122
"Census Tract 101.23, Fulton County, Georgia",132.0,16.0,66.0,13,121,010123
"Census Tract 102.11, Fulton County, Georgia",105.0,29.0,23.0,13,121,010211
"Census Tract 76.02, Fulton County, Georgia",165.0,0.0,0.0,13,121,007602
"Census Tract 17, Fulton County, Georgia",273.0,30.0,26.0,13,121,001700
"Census Tract 78.02, Fulton County, Georgia",371.0,158.0,0.0,13,121,007802
"Census Tract 78.05, Fulton County, Georgia",174.0,77.0,25.0,13,121,007805
"Census Tract 97, Fulton County, Georgia",230.0,0.0,24.0,13,121,009700
"Census Tract 102.06, Fulton County, Georgia",315.0,47.0,37.0,13,121,010206
"Census Tract 113.03, Fulton County, Georgia",366.0,270.0,0.0,13,121,011303
"Census Tract 102.12, Fulton County, Georgia",259.0,112.0,95.0,13,121,010212
"Census Tract 105.15, Fulton County, Georgia",143.0,71.0,0.0,13,121,010515
"Census Tract 105.16, Fulton County, Georgia",574.0,173.0,0.0,13,121,010516
"Census Tract 113.05, Fulton County, Georgia",483.0,258.0,0.0,13,121,011305
"Census Tract 113.06, Fulton County, Georgia",379.0,181.0,0.0,13,121,011306
"Census Tract 114.16, Fulton County, Georgia",46.0,0.0,0.0,13,121,011416
"Census Tract 114.17, Fulton County, Georgia",0.0,0.0,0.0,13,121,011417
"Census Tract 114.18, Fulton County, Georgia",264.0,127.0,0.0,13,121,011418
