NAME,total_units,sfr_detached,sfr_attached,two_unit,small_multifamily,mf_5_9,mf_10_19,mf_20_49,mf_50plus,state,county,tract
"Census Tract 311.16, Cobb County, Georgia",2141.0,1080.0,250.0,0.0,200.0,106.0,414.0,59.0,0.0,13,067,031116
"Census Tract 311.17, Cobb County, Georgia",2365.0,2032.0,29.0,0.0,35.0,213.0,40.0,0.0,7.0,13,067,031117
"Census Tract 311.18, Cobb County, Georgia",2607.0,1745.0,77.0,0.0,0.0,100.0,113.0,396.0,154.0,13,067,031118
"Census Tract 312.05, Cobb County, Georgia",3138.0,524.0,1070.0,19.0,16.0,337.0,546.0,527.0,99.0,13,067,031205
"Census Tract 312.06, Cobb County, Georgia",5687.0,1431.0,1913.0,0.0,31.0,566.0,589.0,746.0,375.0,13,067,031206
"Census Tract 312.07, Cobb County, Georgia",3205.0,95.0,350.0,66.0,72.0,341.0,601.0,373.0,1307.0,13,067,031207
"Census Tract 312.08, Cobb County, Georgia",3453.0,591.0,293.0,0.0,395.0,516.0,813.0,542.0,303.0,13,067,031208
"Census Tract 303.29, Cobb County, Georgia",1688.0,1688.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,067,030329
"Census Tract 303.37, Cobb County, Georgia",1736.0,1554.0,80.0,0.0,0.0,0.0,35.0,0.0,67.0,13,067,030337
"Census Tract 309.01, Cobb County, Georgia",3523.0,2130.0,455.0,16.0,0.0,147.0,382.0,330.0,48.0,13,067,030901
"Census Tract 311.11, Cobb County, Georgia",2057.0,483.0,792.0,0.0,80.0,335.0,240.0,35.0,92.0,13,067,031111
"Census Tract 315.05, Cobb County, Georgia",2371.0,2209.0,96.0,0.0,0.0,21.0,0.0,25.0,20.0,13,067,031505
"Census Tract 302.15, Cobb County, Georgia",3256.0,2916.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,067,030215
"Census Tract 303.13, Cobb County, Georgia",3120.0,3043.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,13,067,030313
"Census Tract 303.18, Cobb County, Georgia",3021.0,2952.0,0.0,0.0,49.0,0.0,0.0,0.0,20.0,13,067,030318
"Census Tract 309.04, Cobb County, Georgia",2811.0,941.0,916.0,101.0,228.0,241.0,236.0,34.0,0.0,13,067,030904
