NAME,total_households,income_under_10k,income_30_35k,income_40_45k,income_75_100k,income_100_125k,income_200k_plus,state,county,tract
"Census Tract 219.11, DeKalb County, Georgia",777.0,56.0,42.0,21.0,19.0,14.0,0.0,13,089,021911
"Census Tract 215.03, DeKalb County, Georgia",1516.0,106.0,84.0,37.0,203.0,91.0,196.0,13,089,021503
"Census Tract 215.04, DeKalb County, Georgia",2514.0,112.0,108.0,94.0,345.0,247.0,521.0,13,089,021504
"Census Tract 233.15, DeKalb County, Georgia",2014.0,37.0,20.0,53.0,382.0,307.0,106.0,13,089,023315
"Census Tract 233.16, DeKalb County, Georgia",2932.0,143.0,116.0,68.0,251.0,305.0,100.0,13,089,023316
"Census Tract 234.19, DeKalb County, Georgia",3524.0,67.0,90.0,149.0,499.0,331.0,151.0,13,089,023419
"Census Tract 234.21, DeKalb County, Georgia",3405.0,399.0,212.0,156.0,365.0,272.0,57.0,13,089,023421
"Census Tract 234.23, DeKalb County, Georgia",2693.0,94.0,119.0,78.0,759.0,377.0,0.0,13,089,023423
"Census Tract 234.25, DeKalb County, Georgia",1977.0,105.0,97.0,64.0,298.0,174.0,119.0,13,089,023425
"Census Tract 234.26, DeKalb County, Georgia",1615.0,38.0,66.0,37.0,207.0,299.0,83.0,13,089,023426
"Census Tract 234.27, DeKalb County, Georgia",969.0,77.0,60.0,30.0,152.0,71.0,35.0,13,089,023427
"Census Tract 234.28, DeKalb County, Georgia",3806.0,260.0,280.0,141.0,388.0,100.0,0.0,13,089,023428
"Census Tract 9800, DeKalb County, Georgia",0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,089,980000
"Census Tract 234.22, DeKalb County, Georgia",1884.0,109.0,85.0,93.0,400.0,230.0,9.0,13,089,023422
"Census Tract 234.24, DeKalb County, Georgia",1755.0,108.0,54.0,87.0,385.0,151.0,44.0,13,089,023424
"Census Tract 212.14, DeKalb County, Georgia",2181.0,55.0,47.0,86.0,134.0,240.0,939.0,13,089,021214
"Census Tract 212.09, DeKalb County, Georgia",3492.0,332.0,141.0,142.0,353.0,364.0,567.0,13,089,021209
"Census Tract 234.18, DeKalb County, Georgia",6723.0,371.0,341.0,458.0,738.0,753.0,76.0,13,089,023418
"Census Tract 233.03, DeKalb County, Georgia",2650.0,319.0,229.0,56.0,257.0,128.0,62.0,13,089,023303
"Census Tract 215.02, DeKalb County, Georgia",2418.0,154.0,123.0,71.0,281.0,143.0,286.0,13,089,021502
"Census Tract 225, DeKalb County, Georgia",2662.0,237.0,36.0,83.0,212.0,136.0,684.0,13,089,022500
"Census Tract 216.03, DeKalb County, Georgia",2511.0,129.0,75.0,140.0,410.0,183.0,169.0,13,089,021603
"Census Tract 218.06, DeKalb County, Georgia",2517.0,135.0,149.0,122.0,455.0,316.0,141.0,13,089,021806
"Census Tract 223.02, DeKalb County, Georgia",2052.0,77.0,26.0,85.0,328.0,301.0,232.0,13,089,022302
"Census Tract 224.02, DeKalb County, Georgia",1103.0,343.0,58.0,26.0,71.0,57.0,64.0,13,089,022402
"Census Tract 228, DeKalb County, Georgia",1308.0,33.0,38.0,6.0,178.0,85.0,443.0,13,089,022800
"Census Tract 232.09, DeKalb County, Georgia",1849.0,107.0,80.0,127.0,226.0,192.0,70.0,13,089,023209
