activity_year,lei,county_code,census_tract,loan_type,loan_purpose,action_taken,occupancy_type,loan_amount,loan_to_value_ratio,property_value,income,debt_to_income_ratio,total_units,purchaser_type,applicant_credit_score_type,interest_rate,ltv_derived,lti_derived,is_first_lien_purchase,is_investor_occupied,downpayment_pct
2019,549300SVKVT1EF3U0N48,13135,13135050726.0,1,1,1,1,165000.0,80.0,205000.0,42.0,36,1,0,7,5.25,80.0,3.9285714285714284,True,False,20.0
2019,549300SVKVT1EF3U0N48,13067,13067030313.0,1,1,1,1,235000.0,66.348,355000.0,66.0,49,1,1,3,3.5,66.348,3.5606060606060606,True,False,33.652
2019,549300SVKVT1EF3U0N48,13089,13089020802.0,1,1,1,1,185000.0,99.85,205000.0,41.0,40,1,9,1,4.0,99.85,4.512195121951219,True,False,0.15000000000000568
2019,549300SVKVT1EF3U0N48,13067,13067030341.0,2,1,1,1,405000.0,88.043,465000.0,121.0,43,1,71,2,3.875,88.043,3.347107438016529,True,False,11.956999999999994
2019,549300SVKVT1EF3U0N48,13121,13121010510.0,1,1,1,1,105000.0,64.236,155000.0,66.0,30%-<36%,1,6,3,3.25,64.236,1.5909090909090908,True,False,35.763999999999996
2019,549300SVKVT1EF3U0N48,13135,13135050608.0,1,1,1,1,195000.0,75.0,255000.0,,,1,0,3,5.749,75.0,,True,False,25.0
2019,549300SVKVT1EF3U0N48,13063,13063040516.0,1,1,1,1,155000.0,104.674,155000.0,51.0,39,1,9,2,3.625,104.674,3.0392156862745097,True,False,-4.674000000000007
2019,549300SVKVT1EF3U0N48,13135,13135050606.0,3,1,1,1,295000.0,95.0,315000.0,115.0,41,1,72,3,3.875,95.0,2.5652173913043477,True,False,5.0
2019,549300SVKVT1EF3U0N48,13135,13135050723.0,3,1,1,1,325000.0,87.671,365000.0,88.0,40,1,72,2,2.75,87.671,3.6931818181818183,True,False,12.328999999999994
2019,549300SVKVT1EF3U0N48,13089,13089023315.0,2,1,1,1,175000.0,96.5,185000.0,60.0,50%-60%,1,72,3,3.875,96.5,2.9166666666666665,True,False,3.5
2019,549300SVKVT1EF3U0N48,13089,13089021912.0,1,1,1,1,485000.0,65.898,735000.0,180.0,20%-<30%,1,71,3,3.75,65.898,2.6944444444444446,True,False,34.102000000000004
2019,549300SVKVT1EF3U0N48,13135,13135050607.0,1,1,1,1,225000.0,80.0,275000.0,101.0,46,1,0,1,4.0,80.0,2.227722772277228,True,False,20.0
2019,549300SVKVT1EF3U0N48,13067,13067031409.0,1,1,1,1,205000.0,84.644,235000.0,48.0,50%-60%,1,0,9,3.25,84.644,4.270833333333333,True,False,15.355999999999995
2019,549300SVKVT1EF3U0N48,13067,13067030409.0,1,1,1,1,255000.0,89.053,285000.0,107.0,40,1,6,2,4.0,89.053,2.383177570093458,True,False,10.947000000000003
2019,549300SVKVT1EF3U0N48,13063,13063040514.0,1,1,1,1,175000.0,96.5,175000.0,42.0,42,1,0,2,3.625,96.5,4.166666666666667,True,False,3.5
